Common Name,Scientific Name
common water hyacinth,Eichhornia crassipes
Silver berry,Elaeagnus commutata
Autumn Olive,Elaeagnus umbellata
shortseed waterwort,Elatine brachysperma
needle spikerush,Eleocharis acicularis
needle spikerush,Eleocharis acicularis var. acicularis
Canada spikesedge,Eleocharis geniculata
pale spikerush,Eleocharis macrostachya
sand spikerush,Eleocharis montevidensis
dwarf spikerush,Eleocharis parvula
rooted spikerush,Eleocharis radicans
beaked spikerush,Eleocharis rostellata
finger millet,Eleusine coracana
African finger millet,Eleusine coracana ssp. africana
blue wildrye,Elymus glaucus
Jepson's blue wildrye,Elymus glaucus ssp. jepsonii
big squirreltail,Elymus multisetus
quackgrass,Elymus repens
Silky Wild Rye,Elymus villosus
spiny threecornerjack,Emex spinosa
whisperingbells,Emmenanthe penduliflora
California brittlebush,Encelia californica
brittlebush,Encelia farinosa
hummingbird trumpet,Epilobium canum
fringed willowherb,Epilobium ciliatum
stream orchid,Epipactis gigantea
Golden Pothos,Epipremnum aureum
field horsetail,Equisetum arvense
smooth horsetail,Equisetum laevigatum
giant horsetail,Equisetum telmateia
giant horsetail,Equisetum telmateia var. braunii
Lehmann lovegrass,Eragrostis lehmanniana
Mexican lovegrass,Eragrostis mexicana
Mexican lovegrass,Eragrostis mexicana ssp. virescens
giant woollystar,Eriastrum densifolium
giant woollystar,Eriastrum densifolium ssp. sanctorum
sapphire woollystar,Eriastrum sapphirinum
cliff goldenbush,Ericameria cuneata
narrowleaf goldenbush,Ericameria linearifolia
Palmer's goldenbush,Ericameria palmeri
Palmer's rabbitbrush,Ericameria palmeri var. pachylepis
Parish's rabbitbrush,Ericameria parishii
pinebush,Ericameria pinifolia
spreading fleabane,Erigeron divergens
leafy fleabane,Erigeron foliosus
Philadelphia fleabane,Erigeron philadelphicus
Prairie Fleabane,Erigeron strigosus
Loquat,Eriobotrya japonica
thickleaf yerba santa,Eriodictyon crassifolium
poodle-dog bush,Eriodictyon parryi
hairy yerba santa,Eriodictyon trichocalyx
longstem buckwheat,Eriogonum elongatum
Eastern Mojave buckwheat,Eriogonum fasciculatum
Eastern Mojave buckwheat,Eriogonum fasciculatum var. foliolosum
Eastern Mojave buckwheat,Eriogonum fasciculatum var. polifolium
slender woolly buckwheat,Eriogonum gracile
slender woolly buckwheat,Eriogonum gracile var. incultum
naked buckwheat,Eriogonum nudum
naked buckwheat,Eriogonum nudum var. pauciflorum
seacliff buckwheat,Eriogonum parvifolium
Thurber's buckwheat,Eriogonum thurberi
bastardsage,Eriogonum wrightii
bastardsage,Eriogonum wrightii var. subscaposum
golden-yarrow,Eriophyllum confertiflorum
golden-yarrow,Eriophyllum confertiflorum var. confertiflorum
longbeak stork's bill,Erodium botrys
redstem stork's bill,Erodium cicutarium
musky stork's bill,Erodium moschatum
musky stork's bill,Erodium moschatum var. moschatum
Arugula,Eruca versicaria sativa
Basul,Erythrina edulis
Coral Bean,Erythrina fusca
California poppy,Eschscholzia californica
California poppy,Eschscholzia californica ssp. californica
spotted hideseed,Eucrypta chrysanthemifolia
Surinam Cherry,Eugenia uniflora
Strawberry Bush,Euonymus americanus
Wintercreeper,Euonymus fortunei
Chinese caps,Euphorbia crenulata
Asthma Weed,Euphorbia hirta
moleplant,Euphorbia lathyris
cliff spurge,Euphorbia misera
petty spurge,Euphorbia peplus
Poinsettia,Euphorbia pulcherrima
warty spurge,Euphorbia spathulata
Indiantree spurge,Euphorbia tirucalli
roughleaf aster,Eurybia radulina
catchfly prairie gentian,Eustoma exaltatum
western goldentop,Euthamia occidentalis
American beech,Fagus grandiflora
"Fig, Weeping",Ficus benjamina
Common Fig,Ficus carica
Rubber Plant,Ficus robusta
sweet fennel,Foeniculum vulgare
